DATE,ATNHPIUS38060Q
1977-04-01,42.8
1977-07-01,43.84
1977-10-01,46.18
1978-01-01,47.64
1978-04-01,49.35
1978-07-01,52.48
1978-10-01,56.08
1979-01-01,58.07
1979-04-01,60.41
1979-07-01,64.06
1979-10-01,65.91
1980-01-01,65.34
1980-04-01,66.34
1980-07-01,70.71
1980-10-01,71.16
1981-01-01,73.35
1981-04-01,74.14
1981-07-01,77.96
1981-10-01,74.26
1982-01-01,71.38
1982-04-01,73.6
1982-07-01,68.26
1982-10-01,74.61
1983-01-01,79.69
1983-04-01,80.58
1983-07-01,77.5
1983-10-01,76.44
1984-01-01,78.85
1984-04-01,83.03
1984-07-01,84.13
1984-10-01,82.44
1985-01-01,84.54
1985-04-01,85.6
1985-07-01,86.24
1985-10-01,87
1986-01-01,89
1986-04-01,91.62
1986-07-01,91.89
1986-10-01,89.7
1987-01-01,93.06
1987-04-01,92.26
1987-07-01,91.77
1987-10-01,90.21
1988-01-01,91.62
1988-04-01,91.89
1988-07-01,90.63
1988-10-01,90.95
1989-01-01,89.68
1989-04-01,89.09
1989-07-01,90.11
1989-10-01,89.65
1990-01-01,88.75
1990-04-01,87.65
1990-07-01,87.28
1990-10-01,86.06
1991-01-01,87.3
1991-04-01,87.74
1991-07-01,87.53
1991-10-01,90.3
1992-01-01,90.46
1992-04-01,90.17
1992-07-01,91.03
1992-10-01,91.52
1993-01-01,91.25
1993-04-01,92.3
1993-07-01,92.89
1993-10-01,94.03
1994-01-01,94.99
1994-04-01,95.97
1994-07-01,97.52
1994-10-01,98.94
1995-01-01,100.00
1995-04-01,101.82
1995-07-01,103.93
1995-10-01,105.16
1996-01-01,107.19
1996-04-01,107.69
1996-07-01,109.07
1996-10-01,110.14
1997-01-01,111.57
1997-04-01,112.52
1997-07-01,114.45
1997-10-01,116.42
1998-01-01,118.16
1998-04-01,119.45
1998-07-01,121.28
1998-10-01,122.75
1999-01-01,124.43
1999-04-01,126.67
1999-07-01,128.94
1999-10-01,130.45
2000-01-01,133.85
2000-04-01,135.37
2000-07-01,137.28
2000-10-01,139.34
2001-01-01,142.47
2001-04-01,144.64
2001-07-01,146.94
2001-10-01,148.11
2002-01-01,150.12
2002-04-01,151.92
2002-07-01,154.21
2002-10-01,155.7
2003-01-01,157.4
2003-04-01,158.89
2003-07-01,160.87
2003-10-01,165.78
2004-01-01,168.45
2004-04-01,173.92
2004-07-01,184.21
2004-10-01,192.25
2005-01-01,205.58
2005-04-01,229.78
2005-07-01,251.83
2005-10-01,271.98
2006-01-01,282.94
2006-04-01,287.78
2006-07-01,290.58
2006-10-01,292.54
2007-01-01,290.34
2007-04-01,287.78
2007-07-01,281.4
2007-10-01,274.8
2008-01-01,262.8
2008-04-01,244.24
2008-07-01,222.01
2008-10-01,210.78
2009-01-01,209.64
2009-04-01,191.13
2009-07-01,179.79
2009-10-01,175.15
2010-01-01,170.93
2010-04-01,164.41
2010-07-01,164.7
2010-10-01,159.68
2011-01-01,150.47
2011-04-01,143.11
2011-07-01,145.37
2011-10-01,149.12
2012-01-01,149.95
2012-04-01,154.05
2012-07-01,161.78
2012-10-01,167.98
2013-01-01,174.11
2013-04-01,183.97
2013-07-01,191.75
2013-10-01,198.14
2014-01-01,202.03
2014-04-01,206.66
2014-07-01,208.26
2014-10-01,211.73
2015-01-01,213.17
2015-04-01,218.56
2015-07-01,224.25
2015-10-01,227.39
2016-01-01,230.62
2016-04-01,235.58
2016-07-01,240.01
2016-10-01,244.25
2017-01-01,247.97
2017-04-01,254.39
2017-07-01,259.88
2017-10-01,263.1
2018-01-01,269.25
2018-04-01,274.88
2018-07-01,281.79
2018-10-01,284.67
2019-01-01,288.43
2019-04-01,293.88
2019-07-01,298.27
2019-10-01,303.42
2020-01-01,310.14
2020-04-01,316.12
2020-07-01,323.53
2020-10-01,334.83
2021-01-01,349.2
